seg_uid,seg_id,road_name,length_m
DM-192893-283967-N2AV,DM00824,동계천로95번길,57.5
DM-192895-283794-4091,DM00769,제봉로138번길,20.4
DM-192896-283761-4091,DM00770,제봉로138번길,65.3
DM-192896-284033-N2AV,DM02871,동계천로95번길,44.9
DM-192896-284143-DX27,DM03316,동계로13번길,54.7
DM-192898-283876-JFYG,DM00768,동계천로,20.8
DM-192899-284112-N2AV,DM00862,동계천로95번길,8.3
DM-192900-284288-52VO,DM03321,경양로,28.7
DM-192901-284106-N2AV,DM03301,동계천로95번길,12.0
DM-192903-284336-X343,DM00781,계림로,59.6
DM-192904-283663-W4QT,DM00085,제봉로,54.1
DM-192904-284058-N2AV,DM02874,동계천로95번길,30.6
DM-192905-283999-N2AV,DM00837,동계천로95번길,26.1
DM-192909-284309-52VO,DM03323,경양로,40.4
DM-192910-284023-N2AV,DM02870,동계천로95번길,29.0
DM-192912-283629-W4QT,DM00084,제봉로,30.0
DM-192912-283921-YM7N,DM00820,동명로25번길,20.3
DM-192912-283932-YM7N,DM00819,동명로25번길,5.7
DM-192912-283989-SZY4,DM00836,동계로1번길,0.8
DM-192912-284114-DX27,DM00861,동계로13번길,22.3
DM-192912-284125-DX27,DM00864,동계로13번길,31.3
DM-192913-283942-YM7N,DM00822,동명로25번길,19.9
DM-192914-284071-N2AV,DM03300,동계천로95번길,19.8
DM-192915-283864-JFYG,DM02462,동계천로,23.3
DM-192918-283801-4091,DM00771,제봉로138번길,28.5
DM-192918-284155-DX27,DM03318,동계로13번길,34.2
DM-192921-283929-YM7N,DM00817,동명로25번길,12.8
DM-192922-283666-GO22,DM00086,장동로,36.5
DM-192922-284236-52VO,DM02414,경양로,45.6
DM-192924-284190-5UT1,DM02865,동계로15번길,65.0
DM-192926-284140-DX27,DM03315,동계로13번길,9.1
DM-192928-283760-6Z8Q,DM00772,동명로,87.5
DM-192928-284363-X343,DM00783,계림로,13.5
DM-192929-283712-6Z8Q,DM00088,동명로,60.9
DM-192929-283984-SZY4,DM00835,동계로1번길,33.8
DM-192931-283617-W4QT,DM03251,제봉로,14.6
DM-192932-283894-YM7N,DM00815,동명로25번길,65.8
DM-192932-284028-SZY4,DM00847,동계로1번길,87.4
DM-192932-284064-N2AV,DM03267,동계천로95번길,26.6
DM-192932-284103-DX27,DM00860,동계로13번길,27.8
DM-192932-284274-F0LS,DM03322,경양로305번길,51.4
DM-192932-284351-X343,DM00784,계림로,22.7
DM-192933-284261-52VO,DM02415,경양로,59.1
DM-192934-283637-GO22,DM00981,장동로,37.4
DM-192934-284146-DX27,DM03317,동계로13번길,11.0
DM-192934-284154-DX27,DM03319,동계로13번길,12.5
DM-192935-284127-DX27,DM00859,동계로13번길,32.0
DM-192936-283954-YM7N,DM00818,동명로25번길,56.9
DM-192936-284114-DX27,DM00857,동계로13번길,25.4
DM-192938-284299-F0LS,DM00954,경양로305번길,62.1
DM-192939-283834-JFYG,DM00775,동계천로,53.6
DM-192941-283655-GO22,DM00978,장동로,7.5
DM-192942-283851-6Z8Q,DM02463,동명로,40.8
DM-192942-283921-YM7N,DM00814,동명로25번길,32.3
DM-192943-283576-F9WR,DM00968,제봉로110번길,69.5
DM-192944-283809-4091,DM00773,제봉로138번길,25.0
DM-192946-284154-DX27,DM03314,동계로13번길,17.3
DM-192947-283673-GO22,DM00979,장동로,37.6
DM-192950-284234-52VO,DM00947,경양로,9.9
DM-192951-283979-SZY4,DM00833,동계로1번길,11.3
DM-192951-284133-DX27,DM00858,동계로13번길,38.9
DM-192953-283780-6Z8Q,DM00774,동명로,65.5
DM-192953-284155-DX27,DM03312,동계로13번길,6.1
DM-192955-284173-DX27,DM02866,동계로13번길,30.1
DM-192955-284212-5UT1,DM02416,동계로15번길,49.4
DM-192956-283738-6Z8Q,DM02035,동명로,14.9
DM-192956-284251-F0LS,DM00946,경양로305번길,35.8
DM-192958-284271-F0LS,DM00949,경양로305번길,3.5
DM-192959-284281-F0LS,DM00951,경양로305번길,17.6
DM-192960-283644-GO22,DM00980,장동로,37.5
DM-192962-284064-D27G,DM00846,동계로9번길,34.9
DM-192962-284138-DX27,DM03313,동계로13번길,32.9
DM-192964-284320-F0LS,DM00953,경양로305번길,59.8
DM-192966-284087-D27G,DM00845,동계로9번길,57.8
DM-192968-283711-6Z8Q,DM02036,동명로,55.7
DM-192968-284018-SZY4,DM00834,동계로1번길,84.6
DM-192969-283601-F9WR,DM00971,제봉로110번길,18.8
DM-192969-283750-6Z8Q,DM02037,동명로,19.7
DM-192969-284277-F0LS,DM00952,경양로305번길,24.5
DM-192970-283912-YM7N,DM00812,동명로25번길,25.4
