segment_id,road_name,width_m,width_min_m,width_p25_m,n_sample,width_src,road_bt,tier,current_status,flag
seg_2096,동명로20번길,5.02,2.69,4.44,4,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_1937,동명로82번길,6.25,0.5,4.92,8,ngii_digitalmap,1.0,FIXED_BLOCK,RED,
seg_2098,동명로14번길,8.54,7.91,8.25,35,ngii_digitalmap,7.0,CANDIDATE,YELLOW,
seg_302,동명로70번길,8.04,6.96,7.62,102,ngii_digitalmap,8.31,CANDIDATE,YELLOW,
seg_355,필문대로,38.93,32.2,38.01,256,ngii_digitalmap,36.473,FIXED_PASS,BLUE,
seg_1936,동명로82번길,2.5,2.5,2.5,3,silpok,1.0,CANDIDATE,GRAY,
seg_2116,동명로20번길,5.5,0.5,3.82,4,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
seg_2099,동명로14번길,7.02,6.96,7.0,30,ngii_digitalmap,7.0,CANDIDATE,GRAY,
seg_2118,동명로20번길,2.5,2.06,2.5,16,ngii_digitalmap,3.0,CANDIDATE,YELLOW,
seg_2100,동명로14번길,4.53,4.53,4.53,30,ngii_digitalmap,6.0,CANDIDATE,YELLOW,
seg_1206,필문대로,10.82,3.2,6.95,5,ngii_digitalmap,1.0,CANDIDATE,GRAY,
seg_2117,동명로20번길,8.54,8.14,8.25,27,ngii_digitalmap,2.0,CANDIDATE,YELLOW,
seg_1935,동명로82번길,2.24,2.0,2.06,8,silpok,2.0,CANDIDATE,GRAY,
seg_1933,동명로82번길,2.24,2.0,2.06,11,silpok,1.0,CANDIDATE,GRAY,
seg_129,동명로20번길,5.0,4.53,4.61,220,ngii_digitalmap,5.0,CANDIDATE,YELLOW,
seg_1934,동명로82번길,3.0,2.92,3.0,7,silpok,1.0,CANDIDATE,GRAY,
seg_147,동명로82번길,7.28,0.5,5.55,11,ngii_digitalmap,2.0,FIXED_BLOCK,RED,
